country,pop_women,par_women,pop_u40,par_u40
Albania,49.5204211352564,27.86,57.563001827077144,16.31
Algeria,49.4982422735888,25.76,51.976166619723,16.74
Argentina,51.0563430230094,38.91,44.52617731449286,12.45
Australia,50.1827708724369,28.67,56.3391613287658,13.27
Austria,50.968861510311,34.43,51.962151400533564,25.68
Azerbaijan,50.1881336115976,16.8,51.86671090147994,4.2
Bahrain,37.2709250230641,15,48.83038448857392,23.08
Bangladesh,49.5743622988998,20.29,49.70960488132099,5.71
Belarus,53.4662471914289,34.55,58.11989212917719,5.5
Belgium,50.6892828397923,38,50.6877078947514,28.67
Bhutan,46.926188657191,14.89,56.318593398869325,38.89
Bosnia and Herzegovina,50.9067112629972,21.43,55.19745170315828,19.05
Brazil,50.8548605861242,15.01,65.97282027090799,18.87
Bulgaria,51.3887985126,23.75,51.055409486284134,28.75
Burundi,50.7877493892349,36.36,39.946838985273374,25.47
Cabo Verde,50.1698432975955,23.61,70.37492139561817,19.44
Cambodia,51.2065104637049,20,49.71384912785877,11.48
Cameroon,49.9526726326422,31.11,59.58846835906608,3.89
Canada,50.3821817268364,27,54.59347522826025,14.14
Chad,49.943744973994,15.25,35.97840188741051,12.02
Chile,50.4630644548279,22.58,60.76989545152425,26.67
China,48.4702914241505,24.9,59.86405044537306,5.61
Costa Rica,49.9861693334271,45.61,65.01523452914192,19.3
Côte d'Ivoire,49.3425883381292,10.59,38.616186574093135,8.84
Croatia,51.7962912659088,18.54,51.09665392780165,14.57
Cuba,49.9786889215567,53.22,50.72585551334839,16.53
Cyprus,49.9401464631307,17.86,49.29119479695004,1.79
Czech Republic,50.8452904385946,22,53.206759600810024,17
Democratic Republic of the Congo,50.1088185421396,8.94,35.96246358866143,9.8
Denmark,50.2624115491429,37.43,49.66648646958912,41.34
Dominican Republic,50.2058372614621,26.84,44.74616450826731,8.6
Ecuador,50.021702446229,37.96,63.269177108455054,37.96
Equatorial Guinea,44.6429416609082,20,53.146158560920675,8
Estonia,53.145468567458,26.73,52.99777669860825,23.76
Ethiopia,50.0692595057154,38.76,59.73145172765885,35.37
Finland,50.7215243524766,42,50.4062581819397,36
France,50.8326835391345,39.58,48.00666631946873,7.57
Gambia (The),50.5020777683782,10.34,56.67910728170658,6.9
Georgia,52.2548554230511,16,55.29469727607462,20.27
Germany,50.757793792732,30.75,48.36754218462076,17.59
Ghana,50.1703202542393,12.73,61.3590064833377,13.09
Greece,50.7798498124111,18.67,38.654028813733035,12
Guatemala,50.7829630818686,12.66,65.03633053783635,18.24
Haiti,50.5518146246721,2.54,47.51451543199653,22.47
Hungary,52.4302483202795,12.56,53.395923766183905,29.44
Iceland,49.8253856440136,38.1,56.37867436675793,20.63
India,48.1803271318099,11.81,47.54307104369378,12.57
Indonesia,49.6580543600788,19.82,63.955172301595034,17.86
Iran (Islamic Republic of),49.7107159288847,5.88,42.345187500915685,7.02
Iraq,49.3769447940669,25.23,25.676772965652162,13.25
Ireland,50.4044604687617,22.15,52.424424482535954,18.29
Israel,50.3301477592528,27.5,54.706910996407956,17.39
Italy,51.2648495220857,35.71,33.40547324754839,32.81
Japan,51.1655927356976,10.11,34.22185512489182,12.71
Kazakhstan,51.5672168969211,27.1,48.80383442082078,1.89
Kuwait,42.5785895165628,3.08,46.4279597850745,4.17
Kyrgyzstan,50.4142849911515,19.17,65.729956647525,35
Latvia,54.0734031160113,31,52.72944783537141,19
