country,region,pop_women,par_women,rep_women,rep_u40,total_seats,placement_id,x,y,rotation
Albania,Europe,49.5204211352564,27.86,0.5625961847922348,0.28334172093728294,140,42,733.6861907008347,437.6620275553656,4.423031762290893
Algeria,Africa,49.4982422735888,25.76,0.5204225204123053,0.3220706929480982,462,69,1145.1326873560342,167.87153095826852,4.8363992167106025
Argentina,America,51.0563430230094,38.91,0.7620992357886767,0.2796107986559097,257,12,396.78737799645535,619.9825475299152,4.0096643078711836
Australia,Oceania,50.1827708724369,28.67,0.571311617544561,0.23553776249105376,150,108,1542.3383610418093,572.6022083975528,5.3324401620142545
Austria,Europe,50.968861510311,34.43,0.6755104779618201,0.49420586538178457,183,28,519.8117295268751,349.95353764783783,4.257684780523009
Azerbaijan,Middle East,50.1881336115976,16.8,0.33474048128615436,0.08097679469164411,125,85,1484.677294085106,90.07289378136261,5.084419689362428
Bahrain,Middle East,37.2709250230641,15,0.4024584844813392,0.4726565281377338,40,74,1257.2032288851951,105.53589837278378,4.919072707594545
Bangladesh,Asia,49.5743622988998,20.29,0.40928413516779205,0.11486713711831582,350,97,1682.5133987861348,186.78907202322102,5.249766671130312
Belarus,Europe,53.4662471914289,34.55,0.6462020772899628,0.09463197192065856,110,51,854.8673126439655,167.87153095826852,4.588378744058777
Belgium,Europe,50.6892828397923,38,0.7496653704906847,0.5656203681478507,150,20,358.4374051410332,255.5133883728122,4.175011289639067
Bhutan,Asia,46.926188657191,14.89,0.3173068264455832,0.6905357121504525,47,103,1774.7690872025846,247.06272148947482,5.3324401620142545
Bosnia and Herzegovina,Europe,50.9067112629972,21.43,0.4209661058104322,0.34512462826087315,42,36,660.7258941404257,462.7093290018744,4.340358271406951
Brazil,America,50.8548605861242,15.01,0.2951536947895103,0.28602688080505023,513,17,411.1754937260355,507.49431101593757,4.092337798755125
Bulgaria,Europe,51.3887985126,23.75,0.4621629749560451,0.5631136894068707,240,53,874.6581336470612,326.6428237161957,4.588378744058777
Burundi,Africa,50.7877493892349,36.36,0.7159206784561113,0.6375973830968117,121,71,1125.3418663529387,326.6428237161956,4.8363992167106025
Cabo Verde,Africa,50.1698432975955,23.61,0.4706014300254265,0.27623476679592307,72,52,864.7627231455133,247.25717733723218,4.588378744058777
Cambodia,Asia,51.2065104637049,20,0.3905753354190376,0.2309215681625185,125,105,1681.7967967382747,377.278516252706,5.3324401620142545
Cameroon,Africa,49.9526726326422,31.11,0.6227894997488239,0.06528108721573067,180,59,958.1240260945362,319.72664268393635,4.671052234942719
Canada,America,50.3821817268364,27,0.5359037476064334,0.25900531044926856,338,1,57.1909584179366,389.38530293433814,3.9269908169872414
Chad,Africa,49.943744973994,15.25,0.3053435421781199,0.33408932496821137,188,82,1311.9676051790211,284.31363036204493,5.001746198478486
Chile,America,50.4630644548279,22.58,0.4474559808037921,0.4388686174600134,155,6,340.0336708925556,672.228015408957,3.9269908169872414
China,Asia,48.4702914241505,24.9,0.5137167379933161,0.09371233583867197,3000,111,1758.3244390901705,436.8423711619614,5.415113652898196
Costa Rica,America,49.9861693334271,45.61,0.9124523964971919,0.2968535011797753,57,10,293.3794999387047,497.88909661794617,4.0096643078711836
Croatia,Europe,51.7962912659088,18.54,0.3579406854598995,0.2851458731639661,151,35,631.6452564953194,388.18204195777196,4.340358271406951
Cuba,America,49.9786889215567,53.22,1.0648538636843925,0.32586931916111633,605,8,189.97162188095422,375.7956457059771,4.0096643078711836
Cyprus,Europe,49.9401464631307,17.86,0.3576281061407278,0.03631480241803266,80,54,884.5535441486089,406.0284700951594,4.588378744058777
Czech Republic,Europe,50.8452904385946,22,0.43268510830062423,0.31950827540606686,200,33,573.4839812051066,239.12746786956745,4.340358271406951
Democratic Republic of the Congo,Africa,50.1088185421396,8.94,0.17841170995643812,0.27250635863250017,500,66,1038.5699759655586,399.65830335492046,4.75372572582666
Denmark,Europe,50.2624115491429,37.43,0.7446916860207492,0.832352013169133,179,38,642.3785989411208,130.9652331687248,4.423031762290893
Dominican Republic,America,50.2058372614621,26.84,0.5345991913295375,0.19219524387193146,190,14,271.71705802957024,312.1706188710908,4.092337798755125
Ecuador,America,50.021702446229,37.96,0.7588706130265205,0.5999761927506905,137,4,226.896585902708,559.0909304191094,3.9269908169872414
Equatorial Guinea,Africa,44.6429416609082,20,0.44799915184605976,0.15052828307110316,100,65,1041.8759739054638,319.72664268393635,4.75372572582666
Estonia,Europe,53.145468567458,26.73,0.5029591557005727,0.44832069343437103,101,55,944.9000343349161,0,4.671052234942719
Ethiopia,Africa,50.0692595057154,38.76,0.7741276859821653,0.5921503492208243,547,88,1397.435381149787,313.65475491366954,5.084419689362428
Finland,Europe,50.7215243524766,42,0.8280508233177588,0.7141970322426872,200,49,835.0764916408699,9.100238200341437,4.588378744058777
France,Europe,50.8326835391345,39.58,0.7786329039569313,0.15768643358037226,577,21,399.38820906820126,324.237704722403,4.175011289639067
Gambia,Africa,50.5020777683782,10.34,0.20474405127296316,0.12173797949402433,58,58,954.8180281546312,239.79498201295223,4.671052234942719
Georgia,Europe,52.2548554230511,16,0.3061916422974533,0.3665812636390107,150,62,1051.7939677251786,79.931660670984,4.75372572582666
