"Source: Inter-Parliamentary Union Open Data","",""
"Date: 2019-01-15","",""
"Country","Chamber","Statutory number of members"
"Afghanistan","House of the People","250"
"Albania","Parliament","140"
"Algeria","National People's Assembly","462"
"Andorra","General Council","28"
"Angola","National Assembly","220"
"Antigua and Barbuda","House of Representatives","18"
"Argentina","Chamber of Deputies","257"
"Armenia","National Assembly","132"
"Australia","House of Representatives","150"
"Austria","National Council","183"
"Azerbaijan","National Assembly","125"
"Bahamas","House of Assembly","39"
"Bahrain","Council of Representatives","40"
"Bangladesh","Parliament","350"
"Barbados","House of Assembly","30"
"Belarus","House of Representatives","110"
"Belgium","House of Representatives","150"
"Belize","House of Representatives","32"
"Benin","National Assembly","83"
"Bhutan","National Assembly","47"
"Bolivia (Plurinational State of)","Chamber of Deputies","130"
"Bosnia and Herzegovina","House of Representatives","42"
"Botswana","National Assembly","63"
"Brazil","Chamber of Deputies","513"
"Brunei Darussalam","Legislative Council","45"
"Bulgaria","National Assembly","240"
"Burkina Faso","National Assembly","127"
"Burundi","National Assembly","121"
"Cabo Verde","National Assembly","72"
"Cambodia","National Assembly","125"
"Cameroon","National Assembly","180"
"Canada","House of Commons","338"
"Central African Republic","National Assembly","140"
"Chad","National Assembly","188"
"Chile","Chamber of Deputies","155"
"China","National People's Congress","3000"
"Colombia","House of Representatives","172"
"Comoros","Assembly of the Union","33"
"Congo","National Assembly","151"
"Costa Rica","Legislative Assembly","57"
"Côte d'Ivoire","National Assembly","255"
"Croatia","Croatian Parliament","151"
"Cuba","National Assembly of the People's Power","605"
"Cyprus","House of Representatives","80"
"Czech Republic","Chamber of Deputies","200"
"Democratic People's Republic of Korea","Supreme People's Assembly","687"
"Democratic Republic of the Congo","National Assembly","500"
"Denmark","The Danish Parliament","179"
"Djibouti","National Assembly","65"
"Dominica","House of Assembly","32"
"Dominican Republic","Chamber of Deputies","190"
"Ecuador","National Assembly","137"
"Egypt","House of Representatives","596"
"El Salvador","Legislative Assembly","84"
"Equatorial Guinea","Chamber of Deputies","100"
"Eritrea","National Assembly","150"
"Estonia","The Estonian Parliament","101"
"Eswatini","House of Assembly","69"
"Ethiopia","House of Peoples' Representatives","547"
"Fiji","Parliament","51"
"Finland","Parliament","200"
"France","National Assembly","577"
"Gabon","National Assembly","143"
"Gambia (The)","National Assembly","58"
"Georgia","Parliament","150"
"Germany","German Bundestag","598"
"Ghana","Parliament","275"
"Greece","Hellenic Parliament","300"
"Grenada","House of Representatives","15"
"Guatemala","Congress of the Republic","158"
"Guinea","National Assembly","114"
"Guinea-Bissau","People's National Assembly","102"
"Guyana","Parliament of the Co-operative Republic of Guyana","69"
"Haiti","Chamber of Deputies","119"
"Honduras","National Congress","128"
"Hungary","National Assembly","199"
"Iceland","Parliament","63"
"India","House of the People","545"
"Indonesia","House of Representatives","560"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","290"
"Iraq","Council of Representatives of Iraq","329"
"Ireland","House of Representatives","158"
"Israel","Parliament","120"
"Italy","Chamber of Deputies","630"
"Jamaica","House of Representatives","63"
"Japan","House of Representatives","465"
"Jordan","House of Representatives","130"
"Kazakhstan","House of Representatives","107"
"Kenya","National Assembly","350"
"Kiribati","House of Assembly","46"
"Kuwait","National Assembly","65"
"Kyrgyzstan","Supreme Council","120"
"Lao People's Democratic Republic","National Assembly","149"
"Latvia","Parliament","100"
"Lebanon","National Assembly","128"
"Lesotho","National Assembly","122"
"Liberia","House of Representatives","73"
